font,fontVariant,m_label,strength,italic,orientation,m_top,m_left,originalH,originalW,h,w,r0c0,r0c1,r0c2,r0c3,r0c4,r0c5,r0c6,r0c7,r0c8,r0c9,r0c10,r0c11,r0c12,r0c13,r0c14,r0c15,r0c16,r0c17,r0c18,r0c19,r1c0,r1c1,r1c2,r1c3,r1c4,r1c5,r1c6,r1c7,r1c8,r1c9,r1c10,r1c11,r1c12,r1c13,r1c14,r1c15,r1c16,r1c17,r1c18,r1c19,r2c0,r2c1,r2c2,r2c3,r2c4,r2c5,r2c6,r2c7,r2c8,r2c9,r2c10,r2c11,r2c12,r2c13,r2c14,r2c15,r2c16,r2c17,r2c18,r2c19,r3c0,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r3c7,r3c8,r3c9,r3c10,r3c11,r3c12,r3c13,r3c14,r3c15,r3c16,r3c17,r3c18,r3c19,r4c0,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r4c7,r4c8,r4c9,r4c10,r4c11,r4c12,r4c13,r4c14,r4c15,r4c16,r4c17,r4c18,r4c19,r5c0,r5c1,r5c2,r5c3,r5c4,r5c5,r5c6,r5c7,r5c8,r5c9,r5c10,r5c11,r5c12,r5c13,r5c14,r5c15,r5c16,r5c17,r5c18,r5c19,r6c0,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6,r6c7,r6c8,r6c9,r6c10,r6c11,r6c12,r6c13,r6c14,r6c15,r6c16,r6c17,r6c18,r6c19,r7c0,r7c1,r7c2,r7c3,r7c4,r7c5,r7c6,r7c7,r7c8,r7c9,r7c10,r7c11,r7c12,r7c13,r7c14,r7c15,r7c16,r7c17,r7c18,r7c19,r8c0,r8c1,r8c2,r8c3,r8c4,r8c5,r8c6,r8c7,r8c8,r8c9,r8c10,r8c11,r8c12,r8c13,r8c14,r8c15,r8c16,r8c17,r8c18,r8c19,r9c0,r9c1,r9c2,r9c3,r9c4,r9c5,r9c6,r9c7,r9c8,r9c9,r9c10,r9c11,r9c12,r9c13,r9c14,r9c15,r9c16,r9c17,r9c18,r9c19,r10c0,r10c1,r10c2,r10c3,r10c4,r10c5,r10c6,r10c7,r10c8,r10c9,r10c10,r10c11,r10c12,r10c13,r10c14,r10c15,r10c16,r10c17,r10c18,r10c19,r11c0,r11c1,r11c2,r11c3,r11c4,r11c5,r11c6,r11c7,r11c8,r11c9,r11c10,r11c11,r11c12,r11c13,r11c14,r11c15,r11c16,r11c17,r11c18,r11c19,r12c0,r12c1,r12c2,r12c3,r12c4,r12c5,r12c6,r12c7,r12c8,r12c9,r12c10,r12c11,r12c12,r12c13,r12c14,r12c15,r12c16,r12c17,r12c18,r12c19,r13c0,r13c1,r13c2,r13c3,r13c4,r13c5,r13c6,r13c7,r13c8,r13c9,r13c10,r13c11,r13c12,r13c13,r13c14,r13c15,r13c16,r13c17,r13c18,r13c19,r14c0,r14c1,r14c2,r14c3,r14c4,r14c5,r14c6,r14c7,r14c8,r14c9,r14c10,r14c11,r14c12,r14c13,r14c14,r14c15,r14c16,r14c17,r14c18,r14c19,r15c0,r15c1,r15c2,r15c3,r15c4,r15c5,r15c6,r15c7,r15c8,r15c9,r15c10,r15c11,r15c12,r15c13,r15c14,r15c15,r15c16,r15c17,r15c18,r15c19,r16c0,r16c1,r16c2,r16c3,r16c4,r16c5,r16c6,r16c7,r16c8,r16c9,r16c10,r16c11,r16c12,r16c13,r16c14,r16c15,r16c16,r16c17,r16c18,r16c19,r17c0,r17c1,r17c2,r17c3,r17c4,r17c5,r17c6,r17c7,r17c8,r17c9,r17c10,r17c11,r17c12,r17c13,r17c14,r17c15,r17c16,r17c17,r17c18,r17c19,r18c0,r18c1,r18c2,r18c3,r18c4,r18c5,r18c6,r18c7,r18c8,r18c9,r18c10,r18c11,r18c12,r18c13,r18c14,r18c15,r18c16,r18c17,r18c18,r18c19,r19c0,r19c1,r19c2,r19c3,r19c4,r19c5,r19c6,r19c7,r19c8,r19c9,r19c10,r19c11,r19c12,r19c13,r19c14,r19c15,r19c16,r19c17,r19c18,r19c19
ARIAL,ARIAL ROUNDED MT BOLD,122,0.400000,0,0.000000,48,21,35,34,20,20,1,125,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,204,26,1,91,249,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,189,1,106,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,211,1,46,144,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,125,1,1,1,1,1,1,1,1,1,1,1,1,125,255,255,255,255,255,217,35,1,1,1,1,1,1,1,1,1,1,1,133,249,255,255,255,255,217,33,1,1,1,1,1,1,1,1,1,1,1,108,255,255,255,255,255,213,35,1,1,1,1,1,1,1,1,1,1,1,26,211,255,255,255,255,213,33,1,1,1,1,1,1,1,1,1,1,1,39,221,255,255,255,255,204,18,1,1,1,1,1,1,1,1,1,1,1,39,223,255,255,255,255,251,97,1,1,1,1,1,1,1,1,1,1,1,43,221,255,255,255,255,247,121,1,1,1,1,1,1,1,1,1,1,1,43,223,255,255,255,255,255,110,1,1,1,1,1,1,1,1,1,1,1,52,238,255,255,255,255,255,86,1,1,1,1,1,1,1,1,1,1,1,56,236,255,255,255,255,243,97,1,1,1,1,1,1,1,1,1,1,1,9,178,255,255,255,255,243,95,1,1,1,1,1,1,1,1,1,1,1,1,146,255,255,255,255,255,80,1,1,1,1,1,1,1,1,1,1,1,1,170,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,230,46,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,234,234,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,234,46,230,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,230,46
ARIAL,ARIAL ROUNDED MT BOLD,121,0.400000,0,0.000000,48,21,49,34,20,20,20,158,255,255,225,45,1,1,1,1,1,1,1,1,1,46,207,255,237,90,106,255,255,255,255,192,1,1,1,1,1,1,1,1,28,208,255,255,255,255,48,231,255,255,255,242,67,1,1,1,1,1,1,1,97,255,255,255,255,173,1,162,255,255,255,255,165,5,1,1,1,1,1,1,226,255,255,255,241,71,1,30,210,255,255,255,255,92,1,1,1,1,1,111,253,255,255,255,134,1,1,1,123,255,255,255,255,191,18,1,1,1,11,214,255,255,255,230,43,1,1,1,8,192,255,255,255,255,70,1,1,1,147,255,255,255,255,156,1,1,1,1,1,91,248,255,255,255,211,1,1,40,224,255,255,255,222,12,1,1,1,1,1,1,161,255,255,255,248,88,1,125,255,255,255,255,118,1,1,1,1,1,1,1,60,240,255,255,255,197,22,220,255,255,255,195,1,1,1,1,1,1,1,1,1,122,255,255,255,255,164,255,255,255,255,76,1,1,1,1,1,1,1,1,1,13,187,255,255,255,255,255,255,255,158,2,1,1,1,1,1,1,1,1,1,1,89,250,255,255,255,255,255,255,31,1,1,1,1,1,1,1,1,1,1,1,1,161,255,255,255,255,255,143,2,1,1,1,1,1,1,1,1,1,1,1,1,136,255,255,255,255,245,39,1,1,1,1,1,1,1,1,1,1,1,1,67,248,255,255,255,255,106,1,1,1,1,1,1,1,1,1,1,1,1,61,216,255,255,255,255,215,30,1,1,1,1,1,1,1,158,219,219,219,219,245,255,255,255,255,251,65,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,255,222,56,1,1,1,1,1,1,1,1,1,90,176,255,255,255,255,255,158,133,20,1,1,1,1,1,1,1,1,1,1
ARIAL,ARIAL ROUNDED MT BOLD,120,0.400000,0,0.000000,48,21,36,32,20,20,1,103,255,255,167,1,1,1,1,1,1,1,1,1,1,167,255,255,103,1,86,248,255,255,255,174,22,1,1,1,1,1,1,22,174,255,255,255,248,86,75,241,255,255,255,255,195,29,1,1,1,1,29,195,255,255,255,255,241,75,1,174,255,255,255,255,255,213,22,1,1,22,213,255,255,255,255,255,174,1,1,15,185,255,255,255,255,255,121,1,1,121,255,255,255,255,255,185,15,1,1,1,71,241,255,255,255,255,255,167,167,255,255,255,255,255,241,71,1,1,1,1,1,61,224,255,255,255,255,255,255,255,255,255,255,224,61,1,1,1,1,1,1,1,36,255,255,255,255,255,255,255,255,255,255,36,1,1,1,1,1,1,1,1,1,139,248,255,255,255,255,255,255,248,139,1,1,1,1,1,1,1,1,1,1,1,192,255,255,255,255,255,255,192,1,1,1,1,1,1,1,1,1,1,1,167,255,255,255,255,255,255,255,255,167,1,1,1,1,1,1,1,1,1,54,255,255,255,255,255,255,255,255,255,255,54,1,1,1,1,1,1,1,86,234,255,255,255,255,255,255,255,255,255,255,234,86,1,1,1,1,1,15,227,255,255,255,255,248,139,139,248,255,255,255,255,227,15,1,1,1,18,199,255,255,255,255,255,192,1,1,103,255,255,255,255,255,199,18,1,1,103,255,255,255,255,255,199,18,1,1,18,199,255,255,255,255,255,103,1,86,248,255,255,255,255,227,15,1,1,1,1,15,227,255,255,255,255,248,86,220,255,255,255,255,234,86,1,1,1,1,1,1,86,234,255,255,255,255,220,238,255,255,255,238,54,1,1,1,1,1,1,1,1,54,255,255,255,255,238,43,220,255,220,43,1,1,1,1,1,1,1,1,1,1,114,220,255,220,43
ARIAL,ARIAL ROUNDED MT BOLD,119,0.400000,0,0.000000,48,21,36,52,20,20,103,255,123,1,1,1,1,1,62,223,223,62,1,1,1,1,1,123,255,103,245,255,247,18,1,1,1,1,225,255,255,171,1,1,1,1,18,247,255,245,255,255,255,42,1,1,1,18,240,255,255,240,18,1,1,1,42,255,255,255,190,255,255,118,1,1,1,79,255,255,255,255,79,1,1,1,118,255,255,190,157,255,255,173,1,1,1,79,255,255,255,255,79,1,1,1,173,255,255,157,59,255,255,216,1,1,1,177,255,255,255,255,177,1,1,1,216,255,255,59,40,242,255,251,53,1,7,203,255,255,255,255,203,7,1,53,251,255,242,40,1,216,255,255,59,1,20,255,255,179,179,255,255,20,1,59,255,255,216,1,1,151,255,255,125,1,86,255,255,147,147,255,255,86,1,125,255,255,151,1,1,118,255,255,157,1,118,255,255,59,59,255,255,118,1,157,255,255,118,1,1,20,255,255,255,1,162,255,255,59,59,255,255,162,1,255,255,255,20,1,1,14,229,255,255,33,216,255,221,7,7,221,255,216,33,255,255,229,14,1,1,1,155,255,255,144,247,255,194,1,1,194,255,247,144,255,255,177,1,1,1,1,79,255,255,168,255,255,118,1,1,118,255,255,168,255,255,112,1,1,1,1,35,245,255,255,255,255,118,1,1,118,255,255,255,255,245,35,1,1,1,1,1,236,255,255,255,255,20,1,1,20,255,255,255,255,236,1,1,1,1,1,1,149,255,255,255,229,14,1,1,14,229,255,255,255,149,1,1,1,1,1,1,116,255,255,255,177,1,1,1,1,177,255,255,255,116,1,1,1,1,1,1,35,249,255,255,112,1,1,1,1,103,253,255,249,35,1,1,1,1,1,1,1,142,255,190,35,1,1,1,1,1,181,255,142,1,1,1,1
ARIAL,ARIAL ROUNDED MT BOLD,118,0.400000,0,0.000000,48,22,36,33,20,20,45,225,255,255,131,1,1,1,1,1,1,1,1,1,1,28,204,255,225,45,238,255,255,255,217,1,1,1,1,1,1,1,1,1,1,200,255,255,255,238,255,255,255,255,247,91,1,1,1,1,1,1,1,1,91,247,255,255,255,255,152,255,255,255,255,209,11,1,1,1,1,1,1,2,132,255,255,255,255,152,101,255,255,255,255,255,16,1,1,1,1,1,1,16,255,255,255,255,225,45,1,201,255,255,255,255,171,1,1,1,1,1,1,171,255,255,255,255,201,1,1,64,255,255,255,255,199,24,1,1,1,1,24,199,255,255,255,255,64,1,1,37,231,255,255,255,255,104,1,1,1,1,70,255,255,255,255,171,11,1,1,1,131,255,255,255,255,225,1,1,1,1,173,255,255,255,255,131,1,1,1,1,1,248,255,255,255,242,69,1,1,69,242,255,255,255,248,1,1,1,1,1,1,93,255,255,255,255,124,1,1,124,255,255,255,255,93,1,1,1,1,1,1,62,235,255,255,255,241,21,21,241,255,255,255,235,62,1,1,1,1,1,1,1,159,255,255,255,255,144,144,255,255,255,255,159,1,1,1,1,1,1,1,1,39,255,255,255,255,187,187,255,255,255,255,39,1,1,1,1,1,1,1,1,18,191,255,255,255,255,255,255,255,255,191,18,1,1,1,1,1,1,1,1,1,78,249,255,255,255,255,255,255,249,78,1,1,1,1,1,1,1,1,1,1,1,240,255,255,255,255,255,255,189,1,1,1,1,1,1,1,1,1,1,1,1,120,255,255,255,255,255,255,86,1,1,1,1,1,1,1,1,1,1,1,1,29,192,255,255,255,255,192,29,1,1,1,1,1,1,1,1,1,1,1,1,1,14,187,255,255,187,14,1,1,1,1,1,1,1
ARIAL,ARIAL ROUNDED MT BOLD,117,0.400000,0,0.000000,48,24,35,32,20,20,41,219,255,255,164,1,1,1,1,1,1,1,1,1,1,164,255,255,219,41,233,255,255,255,255,137,1,1,1,1,1,1,1,1,137,255,255,255,255,233,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,160,1,1,1,1,1,1,1,1,160,255,255,255,255,255,255,255,255,255,255,187,19,1,1,1,1,1,1,55,242,255,255,255,255,255,255,255,255,255,255,255,87,1,1,1,1,1,19,183,255,255,255,255,255,255,164,255,255,255,255,255,242,73,1,1,1,110,201,255,255,255,255,255,255,255,96,255,255,255,255,255,255,255,255,255,255,255,255,255,187,255,255,255,255,255,14,155,255,255,255,255,255,255,255,255,255,255,255,155,14,255,255,255,255,255,1,10,146,251,255,255,255,255,255,255,255,228,146,10,1,233,255,255,255,233,1,1,1,96,110,255,255,255,255,255,110,28,1,1,1,41,219,255,219,41
ARIAL,ARIAL ROUNDED MT BOLD,116,0.400000,0,0.000000,35,21,49,24,20,20,1,1,1,1,1,169,255,255,255,169,126,1,1,1,1,1,1,1,1,1,1,1,1,1,165,255,255,255,255,255,246,132,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,73,108,177,177,242,255,255,255,255,255,255,229,177,177,177,177,143,37,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,128,1,1,193,214,255,255,255,255,255,255,255,255,255,255,255,255,255,245,193,97,1,1,1,14,42,42,220,255,255,255,255,255,255,184,42,42,42,35,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,171,1,1,1,1,1,1,1,1,1,1,1,1,213,255,255,255,255,255,255,193,34,1,1,1,23,68,23,1,1,1,1,1,118,255,255,255,255,255,255,255,237,219,219,219,231,255,231,132,1,1,1,1,1,208,255,255,255,255,255,255,255,255,255,255,255,255,255,208,1,1,1,1,1,8,82,151,151,238,255,255,255,255,255,255,221,151,82,8
ARIAL,ARIAL ROUNDED MT BOLD,115,0.400000,0,0.000000,48,23,36,31,20,20,1,1,1,15,114,141,255,255,255,255,255,255,242,114,96,1,1,1,1,1,1,6,145,231,255,255,255,255,255,255,255,255,255,255,251,227,85,1,1,1,21,161,255,255,255,255,255,255,255,255,255,255,255,255,255,255,243,117,4,1,109,255,255,255,255,255,240,191,86,86,86,140,248,255,255,255,255,255,127,1,255,255,255,255,255,228,52,1,1,1,1,1,98,255,255,255,255,255,181,1,255,255,255,255,255,206,1,1,1,1,1,1,1,64,234,255,255,255,181,1,255,255,255,255,255,250,149,64,1,1,1,1,1,1,46,171,171,88,21,1,128,255,255,255,255,255,255,241,199,153,57,57,15,1,1,1,1,1,1,1,31,188,255,255,255,255,255,255,255,255,255,255,192,171,56,29,4,1,1,1,1,8,114,224,255,255,255,255,255,255,255,255,255,255,255,255,157,60,1,1,1,1,1,1,69,164,255,255,255,255,255,255,255,255,255,255,255,255,90,1,1,1,1,1,1,6,29,29,116,171,173,255,255,255,255,255,255,255,247,81,21,57,57,50,1,1,1,1,1,1,2,57,71,224,255,255,255,255,255,219,201,255,255,245,102,5,1,1,1,1,1,1,1,39,223,255,255,255,255,255,255,255,255,255,255,42,1,1,1,1,1,1,1,1,206,255,255,255,255,255,255,255,255,255,255,228,52,1,1,1,1,1,1,52,228,255,255,255,255,182,201,255,255,255,255,255,240,191,86,86,86,86,191,240,255,255,255,255,231,61,21,161,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,223,50,1,1,6,145,231,255,255,255,255,255,255,255,255,255,255,255,241,195,36,1,1,1,1,1,15,114,114,192,255,255,255,255,255,255,192,114,55,1,1,1,1
ARIAL,ARIAL ROUNDED MT BOLD,114,0.400000,0,0.000000,48,25,36,25,20,20,23,171,255,255,255,199,46,1,1,46,114,227,255,255,255,255,114,69,1,1,120,255,255,255,255,255,103,1,114,239,255,255,255,255,255,255,255,244,142,18,255,255,255,255,255,255,222,199,255,255,255,255,255,255,255,255,255,255,255,210,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,120,255,255,255,255,255,255,255,255,255,255,171,114,114,114,199,255,255,255,171,23,255,255,255,255,255,255,255,255,233,86,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,23,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,120,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,255,255,255,255,255,255,255,52,1,1,1,1,1,1,1,1,1,1,1,1,120,255,255,255,255,255,154,18,1,1,1,1,1,1,1,1,1,1,1,1,23,171,255,255,255,199,46,1,1,1,1,1,1,1,1,1,1,1,1,1
ARIAL,ARIAL ROUNDED MT BOLD,113,0.400000,0,0.000000,48,23,49,35,20,20,1,1,1,1,92,151,226,255,255,255,241,151,47,7,7,107,255,255,241,92,1,1,82,198,255,255,255,255,255,255,255,255,255,177,64,255,255,255,255,255,1,61,223,255,255,255,255,255,219,219,219,240,255,255,190,255,255,255,255,255,36,231,255,255,255,255,244,113,1,1,1,39,113,244,255,255,255,255,255,255,110,255,255,255,255,218,48,1,1,1,1,1,1,78,248,255,255,255,255,255,211,255,255,255,255,141,1,1,1,1,1,1,1,1,183,255,255,255,255,255,255,255,255,255,255,37,1,1,1,1,1,1,1,1,114,255,255,255,255,255,255,255,255,255,255,37,1,1,1,1,1,1,1,1,37,255,255,255,255,255,255,255,255,255,255,40,1,1,1,1,1,1,1,1,159,255,255,255,255,255,166,255,255,255,255,183,1,1,1,1,1,1,1,15,198,255,255,255,255,255,110,255,255,255,255,241,115,1,1,1,1,1,1,130,255,255,255,255,255,255,3,196,255,255,255,255,255,191,42,42,42,102,191,255,255,255,255,255,255,255,1,18,200,255,255,255,255,255,255,255,255,255,255,255,205,255,255,255,255,255,1,1,27,120,238,255,255,255,255,255,255,255,224,105,41,255,255,255,255,255,1,1,1,1,32,73,148,177,177,177,103,73,1,1,37,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,255,255,255,255,255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,255,255,255,255,223,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,107,255,255,241,65
